uid,DT,DF,DL,DP,DC,BD,SL,TL,RL,LE,NQ,BT,DR,HR,DW,DG,SR,NDVI,RD,SB,GVI,SVI,RS,VMI,VHI,SDI,PD,WE
806,121.135818,295.402886,292.404118,23.037091,150.288389,0.149863023,0,0,0.912484,0.258476,0.355789,1.704463,1.354251,207.229287,206.38584,0.843747,1.5,0.6348,104.697324,3.377333,0.337526,0.411821,0.061720358,0.181995,0.015358,0.702530014,53.793576,2
807,73.420933,265.400304,288.362091,30.692471,100.829336,0.089895507,0,0,0.135771,0.530419,0.323982,2.04357,1.36493,262.126007,207.862727,0.914396,0.75,0.6585,50.031348,12.507837,0.431129,0.142999,0.325170569,0.091,0.045529,0.7946093,43.102201,5
808,33.277323,242.098695,292.925286,14.394337,52.407159,0.146783349,0,0,0.010487,0.285455,0.286163,1.782388,1.327368,227.978802,217.811591,0.855819,0.666667,0.6585,141.809121,4.297246,0.439665,0.24953,0.078013686,0.050763,0.003659,0.785481123,44.826151,5
809,38.167913,227.56589,305.708604,36.427016,18.068358,0.234140764,0,0,0.073609,0.555967,0.288586,1.765325,1.35723,203.189251,225.958524,0.659271,2.142857,0.6585,67.168978,1.599261,0.651482,0.077099,0.150172344,0.112197,0.025311,0.739340788,49.983067,1
810,133.845089,164.326274,315.851999,56.896433,55.688955,0.055997503,0,0.969928,0,0.029616,0.104906,0.895853,1.27943,198.923996,299.728411,0.74578,2.5,0.4599,50.017557,0,0.273325,0.329537,0,0.065645,0,0.828477862,66.275902,1
811,192.244103,120.593805,405.709841,103.005046,101.457394,0.093852596,0,0,1,0,0,0,0,0,296.803345,0.868317,4.75,0.4599,0,0,0.348482,0.365517,1,0.00015,0.274122109,0.73002846,84.477501,3
812,232.334756,98.257237,452.238289,147.382223,82.377644,0.11952949,0,0,1,0,0.034035,0.150602,1.48411,191.977501,265.164496,0.480615,3,0.4704,85.074013,10.634252,0.189254,0.623895,0.025751189,0.168477,0.011373,0.568403899,83.80825,3
813,275.682939,98.823599,499.438149,112.401883,43.241037,0.130088096,0,0.027845,0.958203,0.140626,0.036824,0.271046,1.50822,196.768997,215.506289,0.141328,2,0.481,10.483456,1.310432,0.348482,0.365517,1,0.00015,0.238425146,0.702877976,82.133202,19
814,240.496667,121.97427,547.135686,62.884727,44.198396,0.072905606,0,0.437893,0.40316,0.684012,0.07152,0.495411,1.343597,210.019999,166.053339,0.226116,3,0.481,80.440898,6.187761,0.47086,0.421829,0.118398637,0.081138,0.012176,0.644920493,76.842102,17
815,257.164015,331.794384,888.138741,288.438257,372.373477,0,0,1,0,0,0.299969,1.514215,1.424356,179.770571,0,0.000194,1.2,0.2794,107.725927,4.48858,0.420982,0.343173,0.240380807,0.053699,0.017487,0.761840432,34.8577,3
816,295.496676,374.127071,937.395017,338.403507,422.075199,0,0,0.23291,0,0.339374,0.228762,0.837485,1.603963,176.23325,0,0,0.333333,0.2077,105.271825,7.018122,0.523253,0.242545,0.223646337,0.105525,0.017243,0.679378876,35.118601,50
817,336.902419,418.156212,986.726109,388.377702,471.839953,0.013737732,0,0,0,0.001583,0.14314,0.827604,1.39188,191.308502,29.564845,0.000184132,0.5,0.2077,32.100743,5.350124,0.348482,0.365517,1,0.00015,0.223303537,0.642373991,35.379501,118
818,380.379015,463.3985,1036.121329,438.357782,521.649699,0,0,0,0,0.46992,0.121482,0.642075,1.388997,212.350667,56.207644,0.534326,0,0.2077,80.698478,5.379899,0.285472,0.502055,0.238377134,0.102251,0.030874,0.682476035,44.979801,118
819,425.291841,509.530884,1085.571924,488.34194,571.492674,0,0,0,0,0.366886,0.042791,0.218842,1.20365,213.773499,7.265003,0.919566,0,0.2077,57.541411,14.385353,0.637157,0.150529,0.340982927,0.070953,0.036415,0.606165466,44.979801,119
820,440.022087,282.123753,724.343555,220.899959,341.499059,0,0,0,0,0.153228,0.114522,0.738744,1.618052,216.99478,32.805594,0.831751055,0,-0.0106,159.456482,3.796583,0.276101,0.412718,0.225435824,0.116298,0.026767,0.758262203,56.860699,9
821,424.007599,239.706923,680.268883,206.035257,323.58192,0,0,0,0.178619,0.886883,0.227979,0.952731,1.610134,241.530876,30.956446,0.439462,0,0.0719,189.271678,4.401667,0.4028,0.408285,0.115105943,0.102885,0.013491,0.717131805,56.110032,8
822,413.4555,200.810871,637.069792,198.04914,312.712185,0,0,0,1,0.183001,0.36475,2.038086,1.477559,275.255902,49.356536,0.794198203,0.5,0.1544,225.860497,3.828144,0.294933,0.505631,0.044364179,0.144439,0.006057,0.667130754,54.6087,29
